id,name,slug,parent_id,depth,priority,max_weight,frozen,rate,has_ingredients_book
100599,Pasta,2-alt-pasta,58,1,3,0,0,,0
100600,Riso,2-alt-riso,58,1,2,0,0,,0
100601,Cereali e legumi,2-alt-cereali-legumi,58,1,1,0,0,,0
100602,Olio,2-alt-olio,59,1,4,0,0,,0
100603,"Aromi, spezie e sale",2-alt-aromi-spezie-sale,59,1,3,0,0,,0
100604,Salse e sughi,2-alt-salse-sughi,59,1,2,0,0,,0
100605,Sottoli e sottaceti,2-alt-sottoli-sottaceti,59,1,1,0,0,,0
100606,Caffè Macinato e in grani,2-alt-caffe-macinato-grani,60,1,3,0,0,,0
100607,"Caffè solubile, Orzo e cacao",2-alt-caffe-solubile-orzo,60,1,2,0,0,,0
100608,Capsule e cialde,2-alt-capsule-cialde,60,1,1,0,0,,0
100609,Tè,2-alt-te,61,1,3,0,0,,0
100610,Infusi,2-alt-infusi,61,1,2,0,0,,0
100611,Tisane,2-alt-tisane,61,1,1,0,0,,0
100612,Zucchero,2-alt-zucchero,62,1,4,0,0,,0
100613,Uova,2-alt-uova,62,1,3,0,0,,0
100614,Basi e preparati dolci,2-alt-basi-preparati,62,1,2,0,0,,0
100615,Frutta secca e disidratata,2-alt-frutta-secca,62,1,1,0,0,,0
